@relation InstanceResultListener

@attribute Key_Dataset {data_agent,data_keyboard,raw_data_agent,raw_data_keyboard}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.LinearRegression,weka.classifiers.trees.M5P}
@attribute Key_Scheme_options {'-S 0 -R 1.0E-8 -num-decimal-places 4','-M 4.0 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {-3364580862046573747,-6118439039768244417}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumRules numeric

@data
data_agent,4,6,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10598,1178,0.613939,3.109729,82.328336,96.623547,0.257586,0,0,?,?,?,?,?,?,0.044,0,0.046875,0,46.875,0,7950,1920335,215315,?,?,?,?
data_agent,4,7,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10599,1177,0.710252,4.278125,84.214808,98.332708,0.181374,0,0,?,?,?,?,?,?,0.047,0.001,0.046875,0,46.875,0,7950,1920516,215134,?,?,?,?
data_agent,4,8,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10599,1177,0.548472,2.993358,83.669279,97.225851,0.232671,0,0,?,?,?,?,?,?,0.044,0.002,0.046875,0,46.875,0,7950,1920516,215134,?,?,?,?
data_agent,4,9,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10599,1177,0.527945,1.24447,84.058162,90.149716,0.452018,0,0,?,?,?,?,?,?,0.039,0,0.046875,0,46.875,0,7966,1920516,215134,?,?,?,?
data_agent,4,10,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10599,1177,0.571852,1.235787,85.284878,84.366313,0.537364,0,0,?,?,?,?,?,?,0.046,0,0.046875,0,46.875,0,7958,1920516,215134,?,?,?,?
data_agent,5,1,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10598,1178,0.676856,3.316296,87.046698,97.326069,0.230035,0,0,?,?,?,?,?,?,0.041,0,0.046875,0,46.875,0,7950,1920335,215315,?,?,?,?
data_agent,5,2,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10598,1178,0.60375,3.06438,81.728182,95.98044,0.281933,0,0,?,?,?,?,?,?,0.05,0.001,0.046875,0,46.875,0,7942,1920335,215315,?,?,?,?
data_agent,5,3,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10598,1178,0.769211,5.158671,87.310603,99.071011,0.138282,0,0,?,?,?,?,?,?,0.032,0,0.03125,0,31.25,0,7982,1920335,215315,?,?,?,?
data_agent,5,4,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10598,1178,0.704876,4.25698,84.720713,98.060762,0.194748,0,0,?,?,?,?,?,?,0.04,0.001,0.046875,0,46.875,0,7966,1920335,215315,?,?,?,?
data_agent,5,5,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10598,1178,0.689244,4.242906,86.511366,98.536001,0.171355,0,0,?,?,?,?,?,?,0.044,0.001,0.03125,0,31.25,0,7942,1920335,215315,?,?,?,?
