@RELATION raw_data_agent

@ATTRIBUTE x_position NUMERIC
@ATTRIBUTE y_position NUMERIC
@ATTRIBUTE x_velocity NUMERIC
@ATTRIBUTE y_velocity NUMERIC
@ATTRIBUTE angle NUMERIC
@ATTRIBUTE angular_velocity NUMERIC
@ATTRIBUTE left_leg_contact NUMERIC
@ATTRIBUTE right_leg_contact NUMERIC
@ATTRIBUTE action {0,1,2,3}
@ATTRIBUTE next_reward NUMERIC

@DATA
-0.036536217,1.548844,-0.052598357,-0.07853558,-0.12511031,-0.011119423,0.0,0.0,0,-0.232474
-0.0370677,1.5469807,-0.052598357,-0.08285561,-0.1256663,-0.011119429,0.0,0.0,0,-0.228254
-0.037599277,1.5450203,-0.052598365,-0.087175645,-0.12622228,-0.011119428,0.0,0.0,0,-0.223448
-0.03813076,1.5429627,-0.05259837,-0.09149567,-0.12677826,-0.011119458,0.0,0.0,0,-0.218159
-0.038662337,1.540808,-0.052598376,-0.095815696,-0.12733425,-0.011119452,0.0,0.0,0,-0.212413
-0.039193917,1.5385559,-0.05259838,-0.10013572,-0.12789023,-0.011119457,0.0,0.0,0,-0.206312
-0.0397254,1.5362068,-0.052598387,-0.10445575,-0.1284462,-0.011119461,0.0,0.0,0,-0.199827
-0.040256977,1.5337603,-0.052598394,-0.10877577,-0.12900218,-0.011119429,0.0,0.0,0,-0.193087
-0.04078846,1.5312169,-0.0525984,-0.113095805,-0.12955818,-0.011119457,0.0,0.0,0,-0.186048
-0.041320037,1.5285761,-0.05259841,-0.11741583,-0.13011415,-0.011119467,0.0,0.0,0,-0.178776
-0.04185152,1.5258381,-0.052598424,-0.121735856,-0.13067015,-0.011119452,0.0,0.0,0,-0.171305
-0.042383097,1.5230031,-0.052598428,-0.12605588,-0.13122612,-0.011119445,0.0,0.0,0,-0.163648
-0.042914677,1.5200708,-0.052598435,-0.1303759,-0.1317821,-0.011119425,0.0,0.0,0,-0.155811
-0.04344616,1.5170412,-0.05259844,-0.13469595,-0.13233809,-0.011119405,0.0,0.0,0,-0.147817
-0.043977737,1.5139145,-0.052598447,-0.13901596,-0.13289405,-0.011119395,0.0,0.0,0,-0.139710
-0.04450922,1.5106905,-0.052598454,-0.14333598,-0.13345005,-0.0111193955,0.0,0.0,0,-0.131477
-0.045040797,1.5073694,-0.052598458,-0.147656,-0.13400602,-0.011119378,0.0,0.0,0,-0.123121
-0.04557228,1.5039511,-0.05259847,-0.15197602,-0.13456199,-0.01111937,0.0,0.0,0,-0.114681
-0.046103857,1.5004356,-0.05259847,-0.15629603,-0.13511795,-0.011119354,0.0,0.0,0,-0.106139
-0.04663534,1.4968228,-0.052598476,-0.16061606,-0.13567393,-0.011119339,0.0,0.0,0,-0.097527
-0.04716692,1.4931129,-0.052598476,-0.16493607,-0.13622989,-0.011119359,0.0,0.0,0,-0.088828
-0.0476984,1.4893057,-0.052598484,-0.16925608,-0.13678585,-0.011119366,0.0,0.0,0,-0.080077
-0.04822998,1.4854015,-0.052598484,-0.1735761,-0.13734181,-0.011119389,0.0,0.0,0,-0.071252
-0.048761465,1.4813999,-0.052598495,-0.17789613,-0.13789779,-0.011119397,0.0,0.0,0,-0.062383
-0.04929304,1.4773012,-0.052598495,-0.18221617,-0.13845377,-0.0111193955,0.0,0.0,0,-0.053449
-0.049824525,1.4731052,-0.0525985,-0.18653621,-0.13900974,-0.011119387,0.0,0.0,0,-0.044495
-0.0503561,1.4688122,-0.052598514,-0.19085623,-0.1395657,-0.011119361,0.0,0.0,2,5.796052
-0.050693035,1.4657583,-0.033451904,-0.13575314,-0.13980329,-0.004751805,0.0,0.0,1,-0.101238
-0.051088333,1.4626269,-0.04081375,-0.13905236,-0.13852708,0.025523838,0.0,0.0,1,-0.049745
-0.051569175,1.4594084,-0.05153147,-0.14273325,-0.13509181,0.068705454,0.0,0.0,3,0.284206
-0.051986884,1.4560871,-0.043629173,-0.14744073,-0.13324429,0.0369501,0.0,0.0,2,3.462606
-0.05248909,1.4536537,-0.0512773,-0.10805561,-0.13218746,0.021136764,0.0,0.0,2,5.030741
-0.053013135,1.4527032,-0.052722596,-0.042217515,-0.13187341,0.0062804916,0.0,0.0,0,-0.143931
-0.05353718,1.4516556,-0.052722596,-0.046537526,-0.13155939,0.0062805032,0.0,0.0,0,-0.149164
-0.054061223,1.4505106,-0.052722596,-0.050857533,-0.13124536,0.0062805144,0.0,0.0,2,4.273560
-0.054315187,1.4502504,-0.026557783,-0.011461835,-0.1300888,0.023130758,0.0,0.0,1,-0.585796
-0.054633807,1.4499172,-0.034707904,-0.014562979,-0.127254,0.056696285,0.0,0.0,1,-0.707732
-0.05504818,1.4495023,-0.046739038,-0.017993378,-0.121986605,0.10534775,0.0,0.0,3,1.151040
-0.055365942,1.4489777,-0.034609992,-0.023090363,-0.11916588,0.056414794,0.0,0.0,0,0.088528
