@RELATION lunar_lander_filter2

@ATTRIBUTE angle         NUMERIC
@ATTRIBUTE angular_vel   NUMERIC
@ATTRIBUTE left_leg      {0, 1}
@ATTRIBUTE right_leg     {0, 1}
@ATTRIBUTE action        {nothing, left_engine, main_engine, right_engine}

@DATA
0.3199,0.0415,0,0,nothing
0.3220,0.0415,0,0,nothing
0.3241,0.0415,0,0,nothing
0.3261,0.0415,0,0,nothing
0.3282,0.0415,0,0,nothing
0.3303,0.0415,0,0,nothing
0.3324,0.0415,0,0,nothing
0.3344,0.0415,0,0,nothing
0.3365,0.0415,0,0,nothing
0.3386,0.0415,0,0,nothing
0.3407,0.0415,0,0,nothing
0.3428,0.0415,0,0,nothing
0.3448,0.0415,0,0,nothing
0.3469,0.0415,0,0,nothing
0.3490,0.0415,0,0,nothing
0.3511,0.0415,0,0,nothing
0.3531,0.0415,0,0,nothing
0.3552,0.0415,0,0,nothing
0.3573,0.0415,0,0,nothing
0.3594,0.0415,0,0,nothing
0.3614,0.0415,0,0,nothing
0.3635,0.0415,0,0,nothing
0.3656,0.0415,0,0,nothing
0.3677,0.0415,0,0,nothing
0.3697,0.0415,0,0,nothing
0.3718,0.0415,0,0,nothing
0.3739,0.0415,0,0,nothing
0.3760,0.0415,0,0,nothing
0.3781,0.0415,0,0,nothing
0.3801,0.0415,0,0,nothing
0.3822,0.0415,0,0,nothing
0.3843,0.0415,0,0,nothing
0.3864,0.0415,0,0,nothing
0.3884,0.0415,0,0,nothing
0.3905,0.0415,0,0,nothing
0.3926,0.0415,0,0,nothing
0.3947,0.0415,0,0,nothing
0.3967,0.0415,0,0,nothing
0.3988,0.0415,0,0,nothing
0.4009,0.0415,0,0,nothing
0.4030,0.0415,0,0,nothing
0.4050,0.0415,0,0,nothing
0.4071,0.0415,0,0,nothing
0.4092,0.0415,0,0,nothing
0.4113,0.0415,0,0,nothing
0.4134,0.0415,0,0,nothing
0.4154,0.0415,0,0,nothing
0.4175,0.0415,0,0,nothing
0.4196,0.0415,0,0,nothing
0.4217,0.0415,0,0,nothing
0.4237,0.0415,0,0,nothing
0.4258,0.0415,0,0,nothing
0.4279,0.0415,0,0,nothing
0.4300,0.0415,0,0,nothing
0.4320,0.0415,0,0,nothing
0.4341,0.0415,0,0,nothing
0.4362,0.0415,0,0,nothing
0.4383,0.0415,0,0,nothing
0.4403,0.0415,0,0,nothing
0.4424,0.0415,0,0,nothing
0.4445,0.0415,0,0,nothing
0.4466,0.0415,0,0,nothing
0.4486,0.0415,0,0,nothing
0.4507,0.0415,0,0,nothing
0.4528,0.0415,0,0,nothing
0.4549,0.0415,0,0,nothing
0.4570,0.0415,0,0,nothing
0.4590,0.0415,0,0,nothing
0.4611,0.0415,0,0,nothing
0.4632,0.0415,0,0,nothing
0.4677,0.0903,0,0,left_engine
0.4743,0.1323,0,0,left_engine
0.4829,0.1707,0,0,left_engine
0.4933,0.2083,0,0,left_engine
0.5060,0.2542,0,0,left_engine
0.5205,0.2903,0,0,left_engine
0.5376,0.3422,0,0,left_engine
0.5566,0.3794,0,0,left_engine
0.5774,0.4167,0,0,left_engine
0.5982,0.4167,0,0,nothing
0.6191,0.4167,0,0,nothing
0.6399,0.4167,0,0,nothing
0.6607,0.4167,0,0,nothing
0.6816,0.4166,0,0,nothing
0.7024,0.4166,0,0,nothing
0.7232,0.4166,0,0,nothing
0.7441,0.4166,0,0,nothing
0.7624,0.3664,0,0,right_engine
0.7787,0.3260,0,0,right_engine
0.7933,0.2918,0,0,right_engine
0.8055,0.2452,0,0,right_engine
0.8154,0.1978,0,0,right_engine
0.8230,0.1525,0,0,right_engine
0.8285,0.1081,0,0,right_engine
0.8317,0.0648,0,0,right_engine
0.8328,0.0226,0,0,right_engine
0.8322,-0.0125,0,0,right_engine
0.8297,-0.0508,0,0,right_engine
0.8249,-0.0944,0,0,right_engine
0.8202,-0.0944,0,0,nothing
0.8155,-0.0944,0,0,nothing
0.8108,-0.0944,0,0,nothing
0.8042,-0.1322,0,0,right_engine
0.7950,-0.1829,0,0,right_engine
0.7859,-0.1829,0,0,nothing
0.7767,-0.1829,0,0,nothing
0.7676,-0.1829,0,0,nothing
0.7584,-0.1829,0,0,nothing
0.7493,-0.1829,0,0,nothing
0.7402,-0.1829,0,0,nothing
0.7310,-0.1833,0,0,main_engine
0.7219,-0.1817,0,0,main_engine
0.7128,-0.1822,0,0,main_engine
0.7034,-0.1877,0,0,main_engine
0.6935,-0.1982,0,0,main_engine
0.6832,-0.2053,0,0,main_engine
0.6736,-0.1937,0,0,main_engine
0.6643,-0.1853,0,0,main_engine
0.6548,-0.1888,0,0,main_engine
0.6461,-0.1750,0,0,main_engine
0.6376,-0.1699,0,0,main_engine
0.6289,-0.1731,0,0,main_engine
0.6205,-0.1695,0,0,main_engine
0.6119,-0.1718,0,0,main_engine
0.6027,-0.1827,0,0,main_engine
0.5932,-0.1906,0,0,main_engine
0.5839,-0.1867,0,0,main_engine
0.5744,-0.1903,0,0,main_engine
0.5653,-0.1812,0,0,main_engine
0.5563,-0.1808,0,0,main_engine
0.5472,-0.1814,0,0,main_engine
0.5387,-0.1701,0,0,main_engine
0.5303,-0.1674,0,0,main_engine
0.5218,-0.1706,0,0,main_engine
0.5127,-0.1826,0,0,main_engine
0.5028,-0.1964,0,0,main_engine
0.4926,-0.2055,0,0,main_engine
0.4830,-0.1923,0,0,main_engine
0.4731,-0.1966,0,0,main_engine
0.4631,-0.1999,0,0,main_engine
0.4531,-0.1999,0,0,nothing
0.4431,-0.1999,0,0,nothing
0.4331,-0.1999,0,0,nothing
0.4232,-0.1999,0,0,nothing
0.4107,-0.2490,0,0,right_engine
0.3961,-0.2928,0,0,right_engine
0.3793,-0.3347,0,0,right_engine
0.3605,-0.3774,0,0,right_engine
0.3397,-0.4156,0,0,right_engine
0.3168,-0.4585,0,0,right_engine
0.2914,-0.5074,0,0,right_engine
0.2636,-0.5550,0,0,right_engine
0.2342,-0.5894,0,0,right_engine
0.2026,-0.6313,0,0,right_engine
0.1687,-0.6778,0,0,right_engine
0.1327,-0.7211,0,0,right_engine
0.0950,-0.7530,0,0,right_engine
0.0558,-0.7839,0,0,right_engine
0.0142,-0.8321,0,0,right_engine
-0.0297,-0.8782,0,0,right_engine
-0.0757,-0.9192,0,0,right_engine
-0.1237,-0.9598,0,0,right_engine
-0.0138,-0.1362,0,0,nothing
-0.0206,-0.1361,0,0,nothing
-0.0274,-0.1361,0,0,nothing
-0.0342,-0.1360,0,0,nothing
-0.0410,-0.1360,0,0,nothing
-0.0478,-0.1360,0,0,nothing
-0.0546,-0.1360,0,0,nothing
-0.0614,-0.1359,0,0,nothing
-0.0682,-0.1359,0,0,nothing
-0.0749,-0.1359,0,0,nothing
-0.0817,-0.1359,0,0,nothing
-0.0885,-0.1359,0,0,nothing
-0.0953,-0.1358,0,0,nothing
-0.1021,-0.1358,0,0,nothing
-0.1089,-0.1358,0,0,nothing
-0.1157,-0.1358,0,0,nothing
-0.1225,-0.1358,0,0,nothing
-0.1293,-0.1357,0,0,nothing
-0.1361,-0.1357,0,0,nothing
-0.1428,-0.1357,0,0,nothing
-0.1496,-0.1357,0,0,nothing
-0.1564,-0.1357,0,0,nothing
-0.1632,-0.1356,0,0,nothing
-0.1700,-0.1356,0,0,nothing
-0.1767,-0.1356,0,0,nothing
-0.1835,-0.1356,0,0,nothing
-0.1903,-0.1356,0,0,nothing
-0.1971,-0.1356,0,0,nothing
-0.2039,-0.1356,0,0,nothing
-0.2106,-0.1356,0,0,nothing
-0.2153,-0.0937,0,0,left_engine
-0.2177,-0.0478,0,0,left_engine
-0.2178,-0.0009,0,0,left_engine
-0.2159,0.0376,0,0,left_engine
-0.2119,0.0802,0,0,left_engine
-0.2055,0.1267,0,0,left_engine
-0.1976,0.1590,0,0,left_engine
-0.1880,0.1918,0,0,left_engine
-0.1768,0.2243,0,0,left_engine
-0.1635,0.2659,0,0,left_engine
-0.1483,0.3041,0,0,left_engine
-0.1308,0.3485,0,0,left_engine
-0.1115,0.3866,0,0,left_engine
-0.0907,0.4171,0,0,left_engine
-0.0705,0.4022,0,0,main_engine
-0.0509,0.3932,0,0,main_engine
-0.0308,0.4024,0,0,main_engine
-0.0109,0.3980,0,0,main_engine
0.0097,0.4107,0,0,main_engine
0.0299,0.4056,0,0,main_engine
0.0502,0.4044,0,0,main_engine
0.0701,0.3996,0,0,main_engine
0.0895,0.3862,0,0,main_engine
0.1082,0.3744,0,0,main_engine
0.1277,0.3897,0,0,main_engine
0.1464,0.3749,0,0,main_engine
0.1651,0.3733,0,0,main_engine
0.1837,0.3735,0,0,main_engine
0.2029,0.3837,0,0,main_engine
0.2220,0.3825,0,0,main_engine
0.2429,0.4165,0,0,left_engine
0.2662,0.4660,0,0,left_engine
0.2911,0.4977,0,0,left_engine
0.3179,0.5378,0,0,left_engine
0.3448,0.5378,0,0,nothing
0.3739,0.5803,0,0,left_engine
0.4045,0.6136,0,0,left_engine
0.4371,0.6505,0,0,left_engine
0.4719,0.6964,0,0,left_engine
0.5090,0.7428,0,0,left_engine
0.5442,0.7048,0,0,right_engine
0.5769,0.6536,0,0,right_engine
0.6075,0.6109,0,0,right_engine
0.6364,0.5785,0,0,right_engine
0.6633,0.5381,0,0,right_engine
0.6902,0.5381,0,0,nothing
0.7151,0.4984,0,0,right_engine
0.7383,0.4643,0,0,right_engine
0.7592,0.4165,0,0,right_engine
0.7781,0.3791,0,0,right_engine
0.7953,0.3438,0,0,right_engine
0.8103,0.3000,0,0,right_engine
