x_position,y_position,x_velocity,y_velocity,angle,angular_velocity,left_leg_contact,right_leg_contact,euclidean_distance,total_velocity,fast_descent,polar_angle_to_pad,abs_y_velocity,angle_x_angular_vel,x_pos_x_x_vel,y_pos_x_y_vel,low_alt_high_speed,action,next_reward
0.44640532,0.7476475,0.6808688,-0.24055853,-0.27727047,0.40177274,0.0,0.0,0.870778,0.722115,0.000000,1.032527,0.24055853,-0.11139972,0.30394346,-0.17985299,0.000000,1,2.945003
0.45334578,0.742086,0.6727185,-0.24329118,-0.25544775,0.43645447,0.0,0.0,0.869606,0.715361,0.000000,1.022395,0.24329118,-0.111491315,0.3049741,-0.18054298,0.000000,1,3.203160
0.46021453,0.7364516,0.6635885,-0.24653749,-0.2317538,0.47387916,0.0,0.0,0.868423,0.707906,0.000000,1.012263,0.24653749,-0.109823294,0.30539307,-0.18156293,0.000000,1,3.257974
0.4670229,0.7307582,0.655771,-0.24928753,-0.20640002,0.5070757,0.0,0.0,0.867247,0.701555,0.000000,1.002126,0.24928753,-0.104660444,0.30626008,-0.1821689,0.000000,1,3.596744
0.47375852,0.72500896,0.6464037,-0.25197,-0.17908368,0.54632676,0.0,0.0,0.866075,0.693777,0.000000,0.991998,0.25197,-0.0978382,0.30623925,-0.1826805,0.000000,1,3.777952
0.4804203,0.71919566,0.63694537,-0.2551095,-0.14982486,0.5851768,0.0,0.0,0.864897,0.686134,0.000000,0.981874,0.2551095,-0.08767404,0.30600148,-0.18347363,0.000000,1,4.061714
0.48700103,0.7133176,0.6265893,-0.25838307,-0.118457556,0.62734634,0.0,0.0,0.863708,0.677773,0.000000,0.971757,0.25838307,-0.074313916,0.30514964,-0.18430918,0.000000,1,4.306891
0.4934984,0.7073824,0.6159456,-0.26144698,-0.08491926,0.6707663,0.0,0.0,0.862514,0.669136,0.000000,0.961656,0.26144698,-0.056960978,0.30396816,-0.18494299,0.000000,0,3.298469
0.49999657,0.70136505,0.6159309,-0.26586074,-0.051383562,0.67071426,0.0,0.0,0.861342,0.670860,0.000000,0.951471,0.26586074,-0.03446369,0.30796334,-0.18646543,0.000000,0,3.292978
0.5064952,0.69526535,0.61592096,-0.2702748,-0.017850474,0.6706623,0.0,0.0,0.860193,0.672612,0.000000,0.941203,0.2702748,-0.0119716395,0.311961,-0.1879127,0.000000,0,0.151331
