x_position,y_position,x_velocity,y_velocity,angle,angular_velocity,left_leg,right_leg,action
0.15738687,0.07719112,-0.31236035,-0.11391807,-0.07030326,0.026998047,0.0,0.0,2
0.15420075,0.07545806,-0.319417,-0.076987416,-0.069505475,0.015955646,0.0,0.0,0
0.15101472,0.07362786,-0.31941697,-0.08130746,-0.0687077,0.01595566,0.0,0.0,0
0.14782867,0.071700394,-0.31941697,-0.085627526,-0.06790992,0.015955692,0.0,0.0,0
0.14464255,0.06967579,-0.31941697,-0.089947574,-0.067112125,0.01595576,0.0,0.0,0
0.14145651,0.06755391,-0.31941697,-0.09426763,-0.06631434,0.015955817,0.0,0.0,0
0.13827038,0.0653349,-0.31941694,-0.098587684,-0.06551655,0.015955884,0.0,0.0,0
0.13508435,0.06301869,-0.31941694,-0.10290775,-0.06471876,0.015955962,0.0,0.0,0
0.13189821,0.060605273,-0.31941697,-0.107227795,-0.06392095,0.015955806,0.0,0.0,2
0.12888297,0.05862988,-0.3030204,-0.0877326,-0.06244073,0.02960434,0.0,0.0,2
0.12599802,0.057169612,-0.29048193,-0.06482143,-0.060477618,0.039262213,0.0,0.0,2
0.12299843,0.056301508,-0.30128354,-0.03853003,-0.05917184,0.026115775,0.0,0.0,0
0.11999874,0.05533627,-0.30128354,-0.042850174,-0.05786604,0.026115764,0.0,0.0,0
0.11699915,0.05427383,-0.30128354,-0.04717032,-0.056560248,0.026115796,0.0,0.0,0
0.11399946,0.053114258,-0.30128354,-0.051490463,-0.055254452,0.02611578,0.0,0.0,0
0.11099987,0.051857408,-0.30128354,-0.055810615,-0.05394866,0.026115816,0.0,0.0,0
0.10800018,0.05050336,-0.30128357,-0.06013076,-0.05264287,0.026115809,0.0,0.0,0
0.10500059,0.049052175,-0.3012836,-0.064450905,-0.051337082,0.026115805,0.0,0.0,0
0.10200091,0.04750379,-0.3012836,-0.06877104,-0.05003128,0.026115825,0.0,0.0,3
0.099086955,0.045847114,-0.29053792,-0.07365717,-0.050885424,-0.017082775,0.0,0.0,3
0.09623432,0.044090662,-0.2828415,-0.078149214,-0.053282127,-0.04793404,0.0,0.0,0
0.0933816,0.042237077,-0.28284153,-0.0824697,-0.055678826,-0.047934003,0.0,0.0,0
0.090528965,0.04028636,-0.28284156,-0.08679018,-0.058075532,-0.047934003,0.0,0.0,0
0.08767633,0.03823851,-0.2828416,-0.09111068,-0.06047223,-0.047933973,0.0,0.0,0
0.084823705,0.03609353,-0.28284162,-0.095431164,-0.06286894,-0.047933944,0.0,0.0,0
0.08197107,0.03385149,-0.28284162,-0.099751644,-0.06526562,-0.047933944,0.0,0.0,0
0.079118446,0.031512316,-0.28284165,-0.10407213,-0.06766231,-0.047933936,0.0,0.0,0
0.07626581,0.029076014,-0.2828417,-0.10839262,-0.070059,-0.047933903,0.0,0.0,0
0.07341318,0.026542578,-0.28284174,-0.112713106,-0.07245569,-0.047933906,0.0,0.0,0
0.07056055,0.023911938,-0.2828418,-0.11703359,-0.07485239,-0.047933888,0.0,0.0,0
0.06770792,0.02118424,-0.28284186,-0.12135408,-0.077249095,-0.04793389,0.0,0.0,0
0.06485529,0.018359408,-0.28284192,-0.12567456,-0.079645805,-0.047933877,0.0,0.0,0
0.062002756,0.015437446,-0.28284198,-0.12999505,-0.08204251,-0.04793386,0.0,0.0,0
0.059150122,0.012418351,-0.28284207,-0.13431552,-0.08443918,-0.047933675,0.0,0.0,0
0.056297492,0.009302196,-0.28284213,-0.13863601,-0.08683586,-0.04793364,0.0,0.0,0
0.05366697,0.0066565727,-0.27994746,-0.11670004,-0.07006156,0.3355437,1.0,0.0,0
0.05122404,0.0043673967,-0.27679658,-0.10055885,-0.037848633,0.64435405,1.0,0.0,3
0.048847772,0.0019736863,-0.26727614,-0.10589753,-0.008575874,0.5854546,1.0,0.0,3
0.046533488,-0.0005090022,-0.25950342,-0.110417046,0.01913767,0.55427146,0.0,1.0,3
0.044245623,-0.0025249505,-0.24098186,-0.09006532,0.030260777,0.22128642,0.0,1.0,3
0.041904546,-0.003986504,-0.22436011,-0.06480303,0.020596413,-0.19333291,0.0,1.0,3
0.03975954,-0.00441741,-0.20362194,-0.019068537,0.00993151,-0.21320347,1.0,1.0,3
0.037805654,-0.00390636,-0.18682986,0.022640618,0.0019107765,-0.15988395,1.0,1.0,3
0.03610859,-0.002576592,-0.16664773,0.059103586,-0.0011004944,-0.06021266,1.0,1.0,0
0.03452263,-0.0006477618,-0.16037813,0.0857352,0.00066431076,0.03530269,1.0,1.0,0
0.032932855,0.0011307574,-0.16052522,0.07904405,0.002191604,0.030546064,1.0,1.0,0
0.03134308,0.002812109,-0.16052519,0.07472385,0.0037188996,0.03054609,0.0,0.0,0
0.029753303,0.0043962933,-0.16052519,0.07040366,0.0052461927,0.030546093,0.0,0.0,0
0.028163623,0.00588331,-0.16052519,0.06608345,0.006773514,0.030546308,0.0,0.0,0
0.026573848,0.007273123,-0.16052519,0.06176326,0.008300834,0.030546337,0.0,0.0,0
0.024984073,0.008565805,-0.16052519,0.05744306,0.009828152,0.030546334,0.0,0.0,0
0.023394298,0.0097613195,-0.16052519,0.05312286,0.011355479,0.030546326,0.0,0.0,0
0.021804523,0.010859665,-0.16052519,0.048802663,0.01288278,0.030546332,0.0,0.0,0
0.020214844,0.011860809,-0.16052519,0.04448246,0.014410087,0.030546347,0.0,0.0,0
0.01862507,0.012764821,-0.16052519,0.040162254,0.015937412,0.030546347,0.0,0.0,0
0.017035294,0.013571701,-0.16052519,0.035842054,0.017464714,0.030546363,0.0,0.0,0
0.015445518,0.014281378,-0.16052519,0.031521857,0.018992033,0.030546358,0.0,0.0,0
0.013855839,0.014893851,-0.16052519,0.027201658,0.02051935,0.030546352,0.0,0.0,0
0.012266064,0.015409193,-0.16052519,0.02288146,0.022046665,0.030546362,0.0,0.0,0
0.010676289,0.015827332,-0.16052519,0.018561263,0.023573982,0.030546337,0.0,0.0,0
0.009086514,0.016148338,-0.16052517,0.014241066,0.025101293,0.030546311,0.0,0.0,0
0.0074967383,0.016372213,-0.16052514,0.009920868,0.026628602,0.030546302,0.0,0.0,0
0.0059070587,0.016498886,-0.16052514,0.0056006704,0.028155921,0.030546298,0.0,0.0,0
0.0043172836,0.016528353,-0.16052511,0.001280473,0.029683238,0.030546274,0.0,0.0,0
0.0027275085,0.01646069,-0.16052511,-0.0030397244,0.031210553,0.030546263,0.0,0.0,0
0.0011377335,0.016295824,-0.1605251,-0.007359922,0.032737862,0.03054626,0.0,0.0,0
-0.00045204163,0.016033826,-0.16052507,-0.011680118,0.03426517,0.030546242,0.0,0.0,0
-0.0020418167,0.015674695,-0.16052507,-0.016000314,0.03579248,0.030546252,0.0,0.0,0
-0.0036315918,0.015218291,-0.16052505,-0.020320512,0.037319794,0.03054623,0.0,0.0,0
-0.0052212714,0.014664826,-0.16052502,-0.02464071,0.0388471,0.030546242,0.0,0.0,0
-0.0068110465,0.014014158,-0.16052502,-0.028960906,0.040374417,0.030546237,0.0,0.0,0
-0.008400822,0.013266287,-0.16052502,-0.033281103,0.041901726,0.03054623,0.0,0.0,0
-0.009990597,0.012421284,-0.16052502,-0.0376013,0.043429036,0.0305462,0.0,0.0,0
-0.011580372,0.011479077,-0.160525,-0.0419215,0.044956334,0.030546203,0.0,0.0,0
-0.013170147,0.01043974,-0.160525,-0.0462417,0.04648364,0.030546207,0.0,0.0,0
-0.014759922,0.009303198,-0.160525,-0.050561897,0.048010945,0.030546218,0.0,0.0,0
-0.016349697,0.008069525,-0.160525,-0.054882098,0.049538255,0.030546233,0.0,0.0,0
