# a0	a1	a2	a3
     11.6747	      0.7480	     -2.6783	     -1.6453
     -0.4794	     -0.8874	     -3.7970	      4.9407
     -1.2332	      8.1888	     -6.8031	     -0.7202
     16.6044	     -3.8399	     -5.5211	     -2.3622
     23.0440	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     17.8657	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	     -4.8043	      0.0000
    -18.0156	    -13.4700	    -20.1980	    -18.0856
      4.7705	     -3.9767	     -9.3987	     -7.1694
     -3.0678	     10.2496	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      5.2138	    -16.7795	    -10.9624	      0.2438
     13.1409	      0.7309	     -8.3069	     -4.7162
    -14.4491	     -1.2965	    -10.9107	     -3.2318
      0.2667	     -0.1686	    -19.9868	     -0.5300
     17.5125	      4.5922	      2.6104	      0.0000
      1.1807	      0.0000	      0.0000	      0.0000
      5.9243	      0.0000	      0.0000	      0.0000
     -2.1580	      0.0000	      0.0000	      0.0000
    -13.0588	    -11.0578	    -13.7467	    -11.5532
     -0.0162	     -2.6983	     -4.8791	     -1.5574
     -1.2369	     -1.8006	     -8.5501	     -0.7320
     -3.6119	     -1.3196	      0.0000	      0.0000
      1.5559	    -18.0084	    -21.5009	    -31.7249
     -8.1006	     -6.9263	     -8.0154	     -2.7681
      0.8066	     -2.5710	     -6.4014	     -2.9372
     -7.4395	    -10.0473	    -14.0801	     -7.8953
     -3.2829	     -4.4300	     -3.2030	      0.7493
     -3.4351	     -0.2958	      0.0000	      0.0000
     -4.8034	     -4.0654	     -2.8679	     -1.9635
     -2.2433	      0.0000	      0.0000	      0.0000
     -1.1683	      0.1966	      0.6007	     17.2550
      5.4404	      0.0000	     -0.9715	      0.0000
      5.2360	      0.0000	      0.0000	      0.0000
     -0.7882	     -1.8829	     -3.6266	     -2.7349
      2.5828	     -2.7404	    -11.5561	     -4.3370
     -1.5276	      0.0437	     -7.2226	      1.9744
      1.6167	     -3.4160	     -3.7769	     -0.6970
    -15.2326	    -11.6430	    -18.5090	     -4.1328
     -5.7329	     -6.4829	     -9.2952	     -0.1976
     -0.5870	      0.0000	      0.0000	      0.0000
     -4.6557	     -6.0904	     -8.3934	     -5.5279
     -2.2498	     -0.4123	      0.0000	      0.0000
     30.9627	      2.1404	     -2.5298	      0.0000
      6.0266	      0.0000	      0.0000	      2.2566
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.4520	      0.0000	     23.9096
    -20.1777	     -1.8861	     -8.6451	      7.7006
      3.8374	     -2.2120	     -5.9750	     -1.4962
     -2.0390	     -2.9536	    -12.2668	     -3.3097
