# a0	a1	a2	a3
     -9.7478	      5.9500	      0.0000	      0.0000
     -3.6564	     10.6312	     -1.1600	      0.0000
     -1.0371	     -0.1850	     18.2322	      0.0000
     -0.5224	      0.0000	     16.8092	     -1.3091
     -0.0597	      6.9243	      0.0000	     -3.5214
     -0.4269	     -0.7834	      1.9705	      0.0000
     -0.6915	     19.0244	      5.3693	     -1.9797
     -2.4933	      1.2532	     32.5503	      0.9610
      0.4183	     23.8787	      0.0000	      1.4321
     -6.4202	     20.8831	     -1.5187	      3.8258
     -3.7326	     -2.4881	     21.8536	      1.0179
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -0.9942	      5.3672	      0.0000	      0.0000
     -0.5332	      0.0000	      0.0000	     -5.3171
      0.0000	      0.0000	      0.0000	      0.0000
      0.3947	      6.1937	      0.0000	      1.4635
      0.0000	      0.0000	      0.0000	      0.0000
     -3.2765	      3.9312	      0.0000	      0.0000
     -0.9908	      8.1455	     -2.0147	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -3.1347	      0.0000	      0.0000	      0.0000
      0.8022	      6.1090	      0.0000	      0.0000
      1.1759	     24.1811	      6.1172	     -3.3262
     -8.7590	     -2.5608	      3.1074	     -4.9963
     -2.8664	      0.0000	      0.0000	      0.0000
     -2.9981	      0.0000	      0.0000	      0.0000
      3.7234	      0.0000	      0.0000	      0.0000
      2.8685	     31.9444	     -1.6358	      2.1390
     -1.2902	      3.1420	     -3.0085	      0.0000
     -2.3833	      2.0816	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	     17.2214	     -0.3148	     -5.5490
     -0.4689	     24.5406	      1.7468	     -5.1009
     -6.0993	      7.9018	     -2.6218	     -3.8617
     -4.3324	     -0.2029	      0.0000	      0.0000
     -0.0218	     -2.3569	      2.0060	      0.0000
     -0.5879	      0.7383	      0.0000	      0.0000
     -1.6301	     -0.0239	      0.6575	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
    -13.9242	    -14.0378	    -10.0796	    -10.5785
     -1.1290	     -0.7554	     -0.7612	     -1.3011
     -6.0860	     -0.9157	     -0.5657	      0.0000
     -1.4716	     -0.4765	      0.0000	      0.0000
     -0.5137	     -0.7282	      0.0000	      0.0000
    -23.6903	    -24.3699	    -23.0900	    -24.0860
     -6.0253	     -4.3588	     -5.0988	     -5.1899
     -3.1861	     -2.0951	     -0.5046	     -1.5140
     -8.2769	     -5.8088	     -6.0053	     -6.6638
     -0.2600	     -1.0495	      4.9477	      0.0000
    -38.7191	    -34.8192	    -33.7337	    -40.2182
     -6.7930	      3.0221	     -5.0546	     -7.2238
     -0.6237	     -1.2260	     -0.7052	      0.0000
     -2.7657	     -3.8047	     -1.2017	     -1.6033
     -0.0758	     -0.1243	      1.8586	      0.0000
    -36.7397	    -28.4305	    -41.6612	    -40.4985
    -15.4983	     -1.8373	    -45.7438	     -8.4001
    -14.7011	     -2.4399	    -17.1303	    -25.5611
    -10.5927	     -3.0809	     -9.0989	    -10.8354
     -7.2202	     -1.2881	     -7.8194	     -3.7409
     -3.9074	     -1.4371	      4.4079	     -2.0583
     -2.3084	      1.5423	      7.2256	     -2.7303
      1.0761	     21.9837	      0.0000	      0.0000
     -2.3432	     12.9864	     -1.4855	      2.8941
     -8.8203	     -3.4876	     -4.0188	    -10.4884
    -17.7148	    -19.8336	    -12.6406	    -19.5390
     -1.8132	     -3.3641	      9.2472	     -1.8330
      0.7342	     19.4262	      0.0000	     -2.1969
      8.0511	      0.4441	     15.7311	      3.8239
    -13.0852	    -12.1959	    -13.4974	    -13.8842
    -17.8889	    -18.4099	    -10.1915	    -18.7940
     -1.8871	      8.5200	     -0.0058	     -1.5845
      5.0875	     16.3444	     10.3243	     -1.1717
      1.1170	      4.9685	     -3.6584	     -2.8833
    -11.4737	     -6.0432	    -12.7598	    -11.0024
    -19.1548	    -12.0979	    -25.3826	    -23.2397
     -5.2439	      4.7130	      0.4267	     -2.8405
      3.0431	     20.6091	      3.6165	      8.4970
     -4.7517	     10.2175	     -6.9513	     -1.9574
    -13.9533	    -10.4747	    -14.3754	    -13.1784
    -16.3628	     -7.1521	    -23.3172	    -13.2252
     -0.3113	      4.9746	    -15.1130	      3.1818
      2.8683	     14.8410	    -13.3489	     -1.7073
     -1.8053	     15.5069	    -19.1435	    -12.3320
     -9.3074	     -0.9419	    -28.2769	    -10.8804
     -2.6632	     -2.1923	     -1.9835	     -1.5407
     -2.1920	      4.9674	     -1.7850	     -2.1125
     -2.1124	      4.9545	      0.0000	      0.0000
     -1.5533	      5.5236	     -0.6123	     -2.8944
     -9.4724	    -10.0903	     -3.2532	     -3.1122
     -1.5782	     -2.0013	     -0.5789	     -4.3565
     -2.1950	     11.8220	     -0.8193	     -3.3209
      0.0000	     16.4018	      0.0000	     -2.8219
     -3.6889	      7.5565	     -1.9434	     -1.0208
     -6.7833	     -7.2157	     -6.9634	     -7.7760
     -4.9656	      0.5487	     -4.3416	     -5.6877
      0.1301	     11.6353	     -0.5452	      0.0000
     -3.0248	     14.7970	     -2.0286	     -7.7776
      3.8630	      9.4093	      1.7660	      0.2648
    -28.7134	    -11.8143	    -30.1051	    -28.2317
     -3.1893	     -3.1079	     -3.4454	     -3.4811
     -0.9453	      8.3837	      1.4026	      0.6309
     -1.6336	      0.0000	     11.0279	     -2.8595
      2.9407	     15.3404	      9.8625	      2.0085
    -39.2884	    -19.0940	    -24.5344	    -26.6514
     -1.2356	     -0.3919	     -3.9904	     -2.1918
