# a0	a1	a2	a3
    -14.1090	      1.0384	    -12.4842	     -3.1437
     -9.7136	     20.1187	    -20.7714	     -8.4388
     -5.3753	      7.2592	     -4.1775	      0.0000
     -2.6977	    -16.9893	      7.3081	     -4.4202
      3.9222	     17.8185	      0.0000	     -0.5202
     38.2298	     13.6323	     17.1027	      0.2816
     -4.7637	     19.0628	      0.0400	     -3.4563
     -5.4676	     -2.2920	     -4.7278	     -4.1785
     -4.8593	     -5.2851	      1.9415	     -3.4858
      5.4463	      5.5302	      5.6682	      4.2867
     17.4188	     31.2410	      9.9069	      7.1216
      3.0308	     11.2625	     16.9129	     -6.8627
     -2.8974	    -21.5344	     -3.0243	     -9.6441
     -8.5878	      6.8172	    -10.4425	     -7.9200
      4.1314	     13.3986	     13.6868	     10.2567
     -3.9170	     25.3185	     17.1963	      0.9163
     10.5036	     13.3341	      9.0904	      9.6570
     -9.3549	      0.3270	     -7.2183	     -6.9036
     -3.9135	      6.9589	     -8.2077	     -8.6656
     13.3646	     19.2049	      3.1918	      4.1755
     10.7237	     37.0477	     21.3131	     12.8565
     -4.1872	     24.5500	      6.4472	      1.1772
     -9.9335	     -4.1490	    -15.1684	    -12.4359
     -7.9977	     15.1299	    -27.0058	    -14.3267
     11.7024	     27.5337	      1.0901	     10.1768
      1.6077	     13.9477	     -4.0623	     -0.0837
     10.9961	     31.7570	      6.7014	     15.4099
     -9.7342	     -0.9526	    -10.6870	    -17.8504
     -1.0041	      5.9079	      0.0000	      0.0000
     -3.2328	     24.6647	     -3.9135	     -9.1937
     -0.0174	     46.7215	      0.0000	      0.0000
     -4.5394	     -1.2564	      1.0627	      0.0000
     -8.5720	    -20.7912	    -10.2504	    -10.5723
     -3.2392	      7.1019	     -3.4968	     -5.1044
      1.7889	     18.8749	     -8.8292	     -6.1127
     -5.2397	     31.9587	      9.7101	      6.6831
     -0.8451	     13.7476	      1.9681	    -10.4713
    -11.5093	     -7.3511	     -8.0430	    -17.1102
     -0.6366	      2.3303	      1.9556	      1.6423
     -0.9117	     22.0602	     10.9622	     -6.3547
     -0.0972	     29.6080	      9.4027	     -3.8344
      7.4109	     24.2439	      4.7359	      7.9710
    -38.2400	    -45.4878	    -33.6162	    -38.0890
     -5.1978	      5.0880	     -8.9545	    -10.8190
     -2.9593	     20.1651	     -1.6535	      0.0000
      2.7211	     -3.2497	     29.7398	      0.0000
      3.4478	     21.8682	     -0.8803	     14.6758
    -26.3143	    -21.7456	      5.3265	    -27.6814
     -3.2538	     19.0920	     -9.4269	     -7.1869
      8.5257	     35.8447	      0.0000	      8.8352
     -0.3557	     27.7137	    -12.3149	      1.7913
     10.6182	     22.0805	    -15.3309	      2.4458
    -57.5974	    -49.5187	    -24.7792	    -36.0100
     -6.8972	     -6.2392	     -6.5244	      7.7560
     -1.7144	      6.2816	     -3.4447	     -1.6161
     -0.8382	     15.8085	      0.0000	     -2.7329
      2.0339	     16.0438	     -2.6311	     -3.6645
      2.6213	      0.0000	      0.0000	      0.0000
    -13.1324	    -11.8264	    -16.1796	     -8.2731
     -9.3967	      0.0063	    -10.5154	     -7.1508
     -6.6267	     -6.0203	     -9.3942	      2.9148
     -4.4554	      7.2601	     -4.5209	     -3.0191
     -1.7824	     -0.5734	     -3.2566	      5.6833
    -35.7001	    -35.9211	    -53.6534	    -37.6207
    -14.1238	    -16.9777	    -16.6985	      6.3671
     -8.0881	     -1.2434	    -11.4045	    -11.0388
     -5.8215	     11.5249	     -5.3378	     -7.9310
     -2.8637	      9.8220	     -8.8763	     -3.9093
    -46.3531	    -21.2405	    -50.7395	    -45.5583
    -21.5636	     -6.8733	    -26.5945	    -23.8395
    -13.4342	    -14.8690	    -12.5577	    -15.3850
    -22.5969	    -24.6652	    -18.9066	    -16.3970
     -1.2466	      6.3131	     -4.5211	     -3.2349
    -93.8167	    -32.8129	    -92.9714	    -72.1339
    -34.7227	    -15.9637	    -32.1003	    -21.0567
    -43.9394	    -18.2038	    -50.9355	    -32.5364
    -64.7808	    -27.0515	   -113.1950	    -86.2238
    -69.7302	    -81.4560	    -89.1233	    -71.9588
    -20.1243	     -0.2382	    -20.3028	    -15.8915
      0.7440	     27.2772	     -8.6078	      8.0998
     14.7512	     28.1040	     11.2354	      4.4997
      2.2817	     20.0999	     -4.5770	     -6.6590
    -20.2030	    -21.0116	    -20.3041	    -14.6753
     -7.8253	     -1.5276	    -17.4811	    -26.9908
     -6.5179	     15.0037	    -17.7907	    -11.8494
     -5.1000	     11.9200	     -7.8616	     -2.3910
      4.3137	     11.1041	     -1.8714	      4.9572
    -18.9992	     -3.5539	    -20.3532	    -19.8329
    -31.8478	      0.6264	    -41.6830	    -24.7187
      3.5347	     10.9660	    -10.5155	      1.8300
      1.7101	      9.6833	     -4.8608	     -0.3357
     -5.4951	     16.9597	     -3.8320	     -3.4617
    -25.6718	     -7.5560	    -17.5899	    -18.6235
    -28.7113	      0.0445	    -31.9594	    -31.8775
     -2.8632	     -6.8788	     -8.3924	     -3.5051
     -2.7148	     23.5162	    -11.7633	     -7.6100
    -10.1308	     15.3211	    -18.8661	      3.0018
    -18.4365	     -0.6638	    -24.2759	    -22.8928
    -40.6176	    -49.0910	    -61.2708	    -50.9415
    -22.1355	     -3.9468	    -31.8433	    -17.7894
    -28.4431	    -14.8722	    -64.7692	    -27.8340
    -32.5963	     -9.2454	    -46.0756	    -32.6674
    -59.8671	    -21.5335	    -57.8440	    -65.9912
     -1.8336	     -1.2721	     -0.0326	      0.0000
     -1.4836	     33.5081	     -1.9168	     -4.4145
     -6.0223	     24.4609	      0.0000	      2.7624
